code,name,industry,area,pe,pre_bi,cur_bi,pre_profit,cur_profit
300595,欧普康视,医疗保健,安徽,44.91,56.45,51.46,54.84,51.85
300559,佳发教育,软件服务,四川,50.62,103.28,233.33,90.91,75.0
300461,田中精机,专用机械,浙江,34.37,93.75,177.1,414.29,687.5
000789,万年青,水泥,江西,7.58,49.18,56.52,255.56,143.54
300523,辰安科技,软件服务,北京,82.64,57.02,99.04,542.86,225.0
002859,洁美科技,元器件,浙江,44.09,35.2,57.2,38.18,94.12
600585,海螺水泥,水泥,安徽,7.24,47.66,76.77,78.88,151.42
603568,伟明环保,环境保护,浙江,20.27,67.2,65.13,56.35,53.79
600603,广汇物流,仓储物流,四川,15.28,174.85,107.76,85.71,90.0
002803,吉宏股份,广告包装,福建,17.27,167.16,112.58,463.64,163.16
300656,民德电子,电脑设备,深圳,35.89,103.33,341.67,45.45,112.5
600777,新潮能源,综合类,山东,35.38,1936.21,200.0,642.86,432.47
300531,优博讯,软件服务,深圳,39.01,111.11,248.08,100.0,261.54
002399,海普瑞,化学制药,深圳,51.4,103.03,79.95,785.0,415.56
300384,三联虹普,纺织机械,北京,27.64,172.22,285.71,60.0,58.82
000560,我爱我家,房产服务,云南,19.71,853.72,913.16,1563.64,723.81
300149,量子生物,食品,广东,67.93,138.16,429.41,104.76,241.18
002020,京新药业,化学制药,浙江,17.33,47.12,50.64,30.21,62.03
300590,移为通信,通信设备,上海,31.58,37.8,67.14,59.26,112.5
000537,广宇发展,区域地产,天津,3.95,332.54,206.34,657.73,507.62
300130,新国都,电脑设备,深圳,37.73,104.52,158.61,92.31,287.5
300427,红相股份,电气设备,福建,14.83,261.9,134.26,210.0,380.0
600426,华鲁恒升,农药化肥,山东,8.26,57.83,52.98,307.76,183.11
300398,飞凯材料,染料涂料,上海,21.07,175.54,56.33,720.0,296.0
600256,广汇能源,石油开采,新疆,19.31,75.76,64.79,326.58,257.97
300122,智飞生物,生物制药,重庆,47.26,336.04,339.2,281.08,257.52
000636,风华高科,元器件,广东,13.61,45.94,74.6,249.41,567.61
300437,清水源,化工原料,河南,12.7,138.8,135.66,210.53,221.43
300132,青松股份,化工原料,福建,17.02,49.76,79.53,186.67,290.32
600332,白云山,中成药,广东,10.49,36.11,209.89,154.68,150.0
002373,千方科技,软件服务,北京,26.55,239.66,191.95,98.92,110.31
603338,浙江鼎力,专用机械,浙江,29.98,58.0,72.52,64.63,144.87
300423,鲁亿通,电气设备,山东,12.57,845.24,1229.41,1885.71,2033.33
000690,宝新能源,火力发电,广东,14.5,53.45,69.85,75.93,135.85
300630,普利制药,化学制药,海南,72.17,91.46,118.84,85.71,75.86
300725,药石科技,化工原料,江苏,53.25,62.32,72.97,73.68,95.24
002640,跨境通,服饰,山西,16.96,79.77,86.68,56.41,78.33
300450,先导智能,专用机械,江苏,29.06,117.17,195.53,75.0,120.0
002438,江苏神通,机械基件,江苏,36.4,54.76,81.91,63.64,75.0
600781,辅仁药业,中成药,河南,9.81,1280.31,1294.12,5240.0,9233.33
300413,芒果超媒,影视音像,湖南,29.16,605.47,185.57,5490.0,2566.67
300192,科斯伍德,染料涂料,江苏,14.0,95.83,92.74,6000.0,133.33
002382,蓝帆医疗,医疗保健,山东,58.77,54.23,118.25,74.51,101.79
002226,江南化工,化工原料,安徽,31.36,80.29,93.24,76.36,265.52
300472,新元科技,专用机械,北京,56.45,46.99,166.67,150.0,150.0
002127,南极电商,互联网,江苏,27.13,301.1,440.67,78.07,53.4
603496,恒为科技,电脑设备,上海,27.16,71.43,54.55,68.75,68.18
603260,合盛硅业,化工原料,浙江,10.85,84.04,72.46,188.34,94.42
300232,洲明科技,半导体,深圳,16.86,72.94,54.57,71.26,56.41
300089,文化长城,陶瓷,广东,27.75,158.26,148.65,281.82,171.88
002392,北京利尔,其他建材,北京,10.23,32.42,96.54,175.0,96.67
601360,三六零,互联网,江苏,47.11,514.07,496.52,10490.0,5052.63
002605,姚记扑克,文教休闲,上海,27.31,80.77,72.09,200.0,100.0
002097,山河智能,工程机械,湖南,10.14,82.79,52.15,1353.85,230.0
603811,诚意药业,化学制药,浙江,23.27,93.94,89.74,68.75,62.5
300313,天山生物,农业综合,新疆,95.17,269.39,349.15,171.43,1600.0
300164,通源石油,石油开采,陕西,29.22,142.33,124.31,244.44,428.57
000517,荣安地产,区域地产,浙江,19.88,46.93,452.88,78.51,2230.0
300467,迅游科技,互联网,四川,23.23,297.78,224.07,246.67,240.0
300107,建新股份,化工原料,河北,12.31,173.33,215.27,1026.67,1300.0
603988,中电电机,电气设备,江苏,42.46,98.44,65.75,122.22,100.0
600696,ST岩石,区域地产,上海,41.3,71.43,375.34,133.33,300.0
000058,深 赛 格,元器件,深圳,25.37,78.91,112.08,94.44,110.53
603305,旭升股份,汽车配件,浙江,29.39,53.59,77.54,36.84,90.2
002669,康达新材,化工原料,上海,30.94,63.28,127.56,114.29,90.91
