,code,date
0,000428,2018-09-25
1,002598,2018-09-25
2,002124,2018-09-25
3,000889,2018-09-25
4,002530,2018-09-26
5,002598,2018-09-26
6,600603,2018-09-27
7,002598,2018-09-27
8,002418,2018-09-27
9,600539,2018-09-27
10,600890,2018-09-27
11,600783,2018-09-27
12,600603,2018-09-28
13,600532,2018-09-28
14,600101,2018-09-28
15,603029,2018-09-28
16,600026,2018-10-08
17,601872,2018-10-08
18,600617,2018-10-08
19,300025,2018-10-09
20,603303,2018-10-09
21,603727,2018-10-09
22,002476,2018-10-09
23,002629,2018-10-10
24,300702,2018-10-11
25,000806,2018-10-11
26,603223,2018-10-11
27,002827,2018-10-12
28,603196,2018-10-12
